deckid,deckname,user,patch_type,archetype,createddate,lastupdatedate,scrapeddate,deltadays_createdlastupdate,deltadays_createdscraped,deltadays_lastupdatedscraped,hero,deck_type,craft_cost,cards,nbr_cards,count_positiverating,count_negativerating,count_totalrating,url,count_cards_mana0,count_cards_mana1,count_cards_mana2,count_cards_mana3,count_cards_mana4,count_cards_mana5,count_cards_mana6,count_cards_mana7+,format,count_minions,count_spells,count_weapons,is_gooddeck
10448.0,paladin101,Orborous,Beta Patch 3937,Unknown,2013-10-18 00:00:00.000000,2013-10-18 00:00:00.000000,2019-11-15 23:40:06.202149,0.0,2219,2219,paladin,Arena,1220.0,"[27, 29, 31, 47, 54, 84, 95, 100, 112, 128, 140, 221, 283, 372, 388, 389, 422, 434, 463, 475, 557, 577, 612, 624, 627, 627, 629, 642, 648, 659]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/10448,0.0,5.0,4.0,6.0,5.0,7.0,2,1.0,Standard,27.0,3.0,0.0,1
640018.0,Renounce Dankness,linetext,Karazhan,Unknown,2016-09-23 00:00:00.000000,2016-09-23 00:00:00.000000,2019-11-20 03:38:26.348820,0.0,1153,1153,warlock,Ranked Deck,7540.0,"[33, 36, 43, 43, 74, 85, 122, 170, 280, 340, 340, 503, 542, 647, 14443, 14443, 14463, 27210, 27243, 27243, 33136, 33168, 33171, 33171, 35217, 35217, 35224, 35228, 42022, 42033]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/640018,2.0,8.0,4.0,5.0,3.0,2.0,3,3.0,Wild,20.0,10.0,0.0,1
1152309.0,Mech Hunter,user-19484637,Spiteful Nerf,Unknown,2018-08-02 00:00:00.000000,2018-08-02 00:00:00.000000,2019-11-22 18:23:56.472234,0.0,477,477,hunter,Ranked Deck,3660.0,"[363, 386, 386, 89387, 89387, 89799, 89799, 89801, 89801, 89803, 89807, 89807, 89838, 89838, 89843, 89843, 89854, 89854, 89875, 89875, 89891, 89891, 89896, 89896, 89913, 89913, 89921, 89921, 89933, 89933]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/1152309,0.0,2.0,12.0,7.0,4.0,5.0,0,0.0,Standard,23.0,6.0,1.0,1
1302053.0,Odd Discardlock,SgtGoat,Saviors of Uldum,Discardlock,2019-08-13 00:00:00.000000,2019-08-13 00:00:00.000000,2019-11-24 02:40:25.415963,0.0,103,103,warlock,Theorycraft,14320.0,"[482, 507, 507, 529, 529, 12227, 12227, 14463, 14463, 42027, 42027, 42037, 42037, 49691, 49691, 55447, 55488, 55488, 61814, 76880, 76926, 76926, 89335, 89359, 89803, 89881, 90179, 90179, 90180, 90180]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/1302053,0.0,10.0,0.0,9.0,0.0,6.0,0,5.0,Wild,22.0,8.0,0.0,1
987124.0,Dinomancer,hongning,Marin's Treasure,Unknown,2017-12-06 00:00:00.000000,2017-12-06 00:00:00.000000,2019-11-21 23:29:16.402165,0.0,715,715,hunter,None,2780.0,"[8, 8, 99, 162, 225, 225, 363, 363, 488, 488, 578, 578, 35215, 35215, 42020, 42020, 42051, 49681, 49681, 49745, 49745, 55500, 55500, 55526, 55526, 55528, 55528, 55532, 55573, 55595]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/987124,0.0,4.0,9.0,9.0,4.0,2.0,2,0.0,Wild,20.0,8.0,2.0,1
972187.0,Royal Meme Flush,kebabaltair,Marin's Treasure,Marsh Queen Hunter,2017-11-27 00:00:00.000000,2017-11-27 00:00:00.000000,2019-11-21 21:49:01.813458,0.0,724,724,hunter,None,22920.0,"[8, 8, 194, 373, 12285, 12285, 14454, 27215, 35188, 42031, 49745, 49745, 55454, 55466, 55466, 55497, 55502, 55502, 55528, 55528, 55575, 55575, 58723, 61816, 61834, 61834, 62844, 62883, 62922, 76895]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/972187,0.0,12.0,1.0,2.0,1.0,4.0,4,6.0,Wild,29.0,1.0,0.0,1
704343.0,Goon Hunter,WalleyeHS,Gadgetzan,Midrange Hunter,2016-12-15 00:00:00.000000,2016-12-15 00:00:00.000000,2019-11-20 11:39:41.074458,0.0,1070,1070,hunter,Ranked Deck,3480.0,"[8, 8, 162, 162, 225, 225, 279, 305, 488, 488, 578, 14459, 14459, 35214, 35214, 42020, 42020, 49660, 49660, 49669, 49669, 49674, 49674, 49681, 49681, 49682, 49735, 49735, 49745, 49745]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/704343,0.0,6.0,8.0,7.0,4.0,3.0,2,0.0,Wild,23.0,7.0,0.0,1
536100.0,Legions of the Silver Hand,Dwyght,Old Gods,Unknown,2016-05-08 00:00:00.000000,2016-05-24 00:00:00.000000,2019-11-19 15:09:37.052510,16.0,1290,1274,paladin,Ranked Deck,6320.0,"[23, 23, 140, 140, 142, 260, 260, 293, 293, 383, 383, 391, 422, 422, 506, 12182, 12223, 12223, 12257, 12257, 12280, 12280, 22275, 22275, 22363, 31116, 31116, 33153, 33153, 35246]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/536100,0.0,1.0,6.0,9.0,6.0,4.0,1,3.0,Wild,16.0,11.0,3.0,1
411178.0,48 OTK Damage with LOE expansion (still in theo...,Goldemarxial,Explorers,Unknown,2016-01-08 00:00:00.000000,2016-01-07 00:00:00.000000,2019-11-19 01:32:20.650145,-1.0,1411,1412,warrior,Ranked Deck,2620.0,"[50, 50, 96, 161, 227, 227, 246, 261, 261, 297, 297, 428, 428, 493, 493, 632, 632, 637, 637, 638, 644, 644, 646, 646, 664, 664, 7734, 7734, 14454, 27214]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/411178,0.0,6.0,8.0,7.0,5.0,2.0,1,1.0,Wild,11.0,14.0,5.0,1
1026947.0,Kings Rouge,Vershokk,Kobolds Patch,Mill Rogue,2018-01-23 00:00:00.000000,2018-01-23 00:00:00.000000,2019-11-22 03:52:10.253213,0.0,668,668,rogue,Ranked Deck,5700.0,"[87, 87, 88, 88, 244, 364, 364, 378, 385, 385, 467, 471, 471, 550, 550, 658, 658, 35241, 35241, 49730, 49730, 61821, 61821, 62876, 62940, 76946, 76946, 76967, 76984, 76984]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/1026947,6.0,4.0,7.0,3.0,7.0,0.0,2,1.0,Wild,11.0,17.0,1.0,1
1101211.0,#3 ahqShaxy Control Warlock,pathf1nd,Witchwood,Cubelock,2018-04-23 00:00:00.000000,2018-04-23 00:00:00.000000,2019-11-22 12:49:45.192963,0.0,578,578,warlock,Ranked Deck,12040.0,"[42, 122, 122, 467, 467, 55488, 55522, 55529, 55529, 62840, 62840, 62903, 62903, 62934, 73325, 73325, 73326, 76913, 76913, 76924, 76924, 76926, 76926, 76930, 76948, 76948, 76977, 76977, 76995, 89359]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/1101211,0.0,4.0,5.0,3.0,6.0,7.0,1,4.0,Standard,20.0,8.0,1.0,1
1211843.0,Soulflayer Warrior,Gamork666666,Rastakhan,Fatigue Warrior,2018-12-05 00:00:00.000000,2018-12-04 00:00:00.000000,2019-11-23 15:40:45.470371,-1.0,353,354,warrior,Ranked Deck,8000.0,"[50, 50, 215, 215, 227, 227, 297, 297, 428, 428, 493, 493, 55517, 55517, 61815, 61815, 61824, 61824, 62842, 62842, 62927, 73320, 73320, 76944, 76944, 76945, 76945, 89903, 89903, 90190]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/1211843,0.0,2.0,14.0,6.0,2.0,2.0,2,2.0,Standard,7.0,20.0,2.0,1
1105807.0,241,psc2321,Witchwood,Aggro Mage,2018-05-01 00:00:00.000000,2018-04-30 00:00:00.000000,2019-11-22 13:20:23.635220,-1.0,570,571,mage,Ranked Deck,4480.0,"[4, 4, 177, 177, 263, 263, 411, 411, 489, 489, 496, 522, 522, 531, 531, 589, 589, 641, 55450, 55450, 55552, 55552, 73321, 76906, 76906, 89426, 89450, 89450, 89471, 89471]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/1105807,0.0,4.0,9.0,10.0,5.0,0.0,1,1.0,Standard,12.0,17.0,1.0,1
157742.0,Paladin Power I,TheElectroSloth,GvG Launch,Unknown,2015-01-11 00:00:00.000000,2015-01-10 00:00:00.000000,2019-11-16 20:08:06.490136,-1.0,1770,1771,paladin,None,8200.0,"[23, 25, 25, 189, 189, 191, 191, 260, 260, 293, 293, 350, 350, 368, 383, 383, 391, 396, 506, 602, 12176, 12176, 12200, 12200, 12223, 12223, 12227, 12228, 12228, 12280]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/157742,0.0,4.0,6.0,6.0,8.0,3.0,1,2.0,Wild,15.0,11.0,4.0,1
811870.0,MidRange Hunter LC,SonnyOverHere,Un'Goro Launch,Midrange Hunter,2017-04-17 00:00:00.000000,2017-04-17 00:00:00.000000,2019-11-21 00:12:49.185490,0.0,948,948,hunter,Ranked Deck,1080.0,"[8, 8, 22, 22, 86, 86, 101, 101, 162, 162, 225, 225, 279, 279, 317, 317, 407, 488, 488, 578, 578, 35214, 35214, 42020, 42020, 49745, 49745, 55500, 55500, 55526]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/811870,0.0,8.0,7.0,6.0,3.0,4.0,2,0.0,Wild,20.0,10.0,0.0,1
922281.0,Tempo control mage,James1,Frozen Throne,Burn Mage,2017-08-28 00:00:00.000000,2017-08-28 00:00:00.000000,2019-11-21 14:39:34.670571,0.0,815,815,mage,Ranked Deck,9460.0,"[28, 28, 44, 177, 177, 263, 263, 276, 276, 303, 489, 489, 522, 522, 595, 672, 42025, 42025, 42036, 42048, 42048, 49689, 55450, 55450, 55451, 55552, 55552, 55558, 61810, 62883]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/922281,0.0,2.0,8.0,6.0,3.0,1.0,4,6.0,Wild,10.0,19.0,0.0,1
1186599.0,Tess Grayman,25dcm,Boomsday,Thief Rogue,2018-10-02 00:00:00.000000,2018-10-01 00:00:00.000000,2019-11-22 22:11:56.598963,-1.0,416,417,rogue,None,7940.0,"[3, 92, 92, 103, 286, 382, 382, 385, 385, 471, 471, 550, 550, 674, 55456, 55466, 55466, 55490, 55592, 55592, 62901, 62901, 76946, 76946, 89345, 89422, 89423, 89423, 89456, 89456]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/1186599,4.0,7.0,4.0,8.0,4.0,2.0,0,1.0,Standard,18.0,12.0,0.0,1
